data,lançamento,valor
2025-04-22,MERCADOLIVRE*2PROD04/10,76.09
2025-04-17,J L B MAT CONSTRUC04/10,340.33
2025-04-16,MERCADOLIVRE*GLOBA04/10,256.99
2025-04-11,JLMDistribuidora  04/10,65.25
2025-04-10,BATERAMA BATERIAS 04/10,110.45
2025-04-10,KING FERRO        04/10,221.09
2025-04-08,MELF CONSTRUCOES  05/10,-313
2025-04-08,LEROY MERLIN      05/06,424.46
2025-04-04,J L B MAT CONSTRUC05/10,139.8
2025-03-31,J L B MAT CONSTRUC05/10,185.2
2025-03-26,FORNECEDORA CHATUB05/06,357.76
2025-03-24,MERCADOLIVRE*TURBO05/10,227.83
2025-03-24,MERCADOLIVRE*TURBO05/10,227.83
2025-03-20,PG *LEROY MERLIN L05/08,893.22
2025-03-20,MS FERREIRA LTDA  05/10,225.8
2025-03-20,THAIS ALMEIDA     02/10,1482.8
2025-03-19,GRUPO MYSA*181914205/05,1987.19
