date,title,amount
2025-07-05,Uber - NuPay,10.98
2025-07-05,Uber - NuPay,19.98
2025-07-05,Uber - NuPay,12.96
2025-07-04,Uber - NuPay,21.91
2025-07-04,Uber - NuPay,58.97
2025-07-04,Uber - NuPay,20.96
2025-07-04,Uber - NuPay,51.92
2025-07-04,Uber - NuPay,12.95
2025-07-04,Uber - NuPay,29.90
2025-07-04,Uber - NuPay,-29.90
2025-07-04,Uber - NuPay,-17.81
2025-06-28,A Luminosa Mat Eletric,54.00
2025-06-28,Amazonprimebr,19.90
2025-06-27,Pagamento recebido,-25.00
2025-06-26,Pagamento recebido,-120.00
2025-06-26,Plano NuCel 35GB,75.00
2025-06-21,Latam Airlin*Lizqyu017 - Parcela 1/4,1512.16
2025-06-20,Home Assistant Cloud,37.15
2025-06-20,Decolar - Parcela 1/4,101.51
2025-06-20,"IOF de ""Home Assistant Cloud""",1.30
2025-06-19,das Criancas Moda Circ,22.00
2025-06-18,Pagamento recebido,-6489.10
2025-06-15,Levany Calcados,59.99
2025-06-13,Frontera,199.76
2025-06-13,Mp *Melimais,24.90
2025-06-12,Freitas Comercial,20.00
2025-06-11,Mercadolivre*48produt - Parcela 4/10,87.85
2025-06-11,Comigua - Parcela 5/6,181.19
2025-06-11,Mercadolivre*Aquicell - Parcela 3/4,7.76
2025-06-11,Nou Shopping - Parcela 2/5,88.14
2025-06-11,Fornecedora Chatuba de - Parcela 3/3,126.48
2025-06-11,Drogarias Pacheco S.A. - Parcela 2/3,209.99
2025-06-11,Mercadolivre*Dutramaq - Parcela 3/10,89.90
2025-06-11,Raia3149 - Parcela 3/3,40.06
2025-06-11,Demira - Parcela 2/5,70.00
2025-06-11,Fornecedora Chatuba de - Parcela 2/2,143.18
2025-06-11,ZP*OLX - NuPay - Parcela 2/3,60.93
2025-06-11,Mercadolivre*Sodratec - Parcela 3/11,43.09
2025-06-11,Mercadolivre*2produtos - Parcela 2/3,20.10
2025-06-11,Drogarias Pacheco - NuPay - Parcela 6/6,197.33
2025-06-11,Drogaria Venancio - Parcela 2/3,85.80
2025-06-11,Bixo Feliz Veterinaria - Parcela 2/3,106.67
2025-06-11,Fornecedora Chatuba de - Parcela 4/4,169.72
2025-06-11,Mercadolivre*Trwindus - Parcela 6/10,57.98
